Inglese;Italiano;Affidabilità
The menu bar contains File, Edit, Bookmarks, View, and Help menus.;Un elenco corredato di informazioni sull'uso, si trova alla sezione Menu file.;0.762
"The destination mailbox of the filter ""%s"" is ""%s"".";"La casella di destinazione del filtro ""%s"" è ""%s"".";0.897
"When You Start Brasero
When you start Brasero the following window will be shown.";"Quando si avvia Brasero
Quando si avvia Brasero, viene mostrata la seguente finestra.";0.903
A tool with the same name already exists!;Uno strumento con lo stesso nome esiste già.;0.831
"Failed to save cache file ""%s"": %s.";"Salvataggio del file di cache ""%s"" fallito: %s.";0.962
"_Rename for Full Windows Compatibility
_Disable Full Windows Compatibility
Do you want to replace ""%s""?";"_Rinomina per compatibilità Windows
_Disabilita compatibilità Windows
Sostituire «%s»?";0.832
"Shared Library (Libtool)
Add support to compile shared and static libraries with Libtool.";"Libreria condivisa (Libtool)
Aggiunge il supporto per compilare librerie condivise e statiche con Libtool.";0.901
Common additional C preprocessor flags for all targets in this group.;Opzioni comuni aggiuntive del preprocessore C per tutti gli obiettivi in questo gruppo.;0.834
Subversion: Committing changes to the repository...;"Subversion: esecuzione del commit dei cambiamenti al repository...
Subversion: copia completa.";0.941
"Failed to Login to Last.fm
Either your username or password is invalid.";"Accesso non riuscito a Last.fm
Il nome utente o la password non sono validi.";0.899
Before using this new configuration, the default one needs to be removed.;Prima di utilizzare questa nuova configurazione, occorre rimuovere quella predefinita.;0.814
"Program attached
Attaching to process: %d...
A process is already running.";"Nome programma:
Collego il processo: %d
Un processo è già in esecuzione.";0.818
You are searching for a five.;Ci sono 5 possibilità su 6.;0.754
"About Accerciser
Accerciser was written by Eitan Isaacson (eitan@ascender.com).";"Informazioni su Accerciser
Accerciser è stato scritto da Eitan Isaacson (eitan@ascender.com).";0.973
Gnome editor is not defined in your preferred applications.;Non è stato definito un editor di GNOME nelle applicazioni preferite.;0.916
Server error, please try again later.;Errore del server, riprovare più tardi.;0.841
Could not find the JHBuild library directory.;Impossibile trovare la directory della libreria di JHBuild.;0.948
Directories cannot be added to video discs.;Non è possibile aggiungere directory a dischi video.;0.899
First you may choose EditPreferences to activate the Preferences dialog.;Anzitutto occorre selezionare ModificaPreferenze per attivare la finestra di dialogo delle Preferenze.;0.842
"_Discard File
_Add File
Do you want to search for audio files inside the directory?";"_Scarta file
A_ggiungi file
Cercare dei file audio all'interno della directory?";0.869
Mailbox %s does not appear to be a Mh mailbox.;«%s» non è un file mailbox.;0.776
"You may use ""New IMAP subfolder"" later to add a mailbox with this name.";"Sarà possibile usare in seguito ""Nuova sotto-cartella IMAP"" peraggiungere una casella con questo nome.";0.766
"Error Initializing MTP Device Support
There was an error intializing MTP device support.";"Errore inizializzazione nel supporto del dispositivo MTP
Errore inizializzando il supporto al dispositivo MTP.";0.934
"Most of the time the register function name contains the word ""register"".";Nella maggior parte dei casi la funzione di registrazione contiene la parola «register».;0.861
Directories cannot be added to an audio disc.;Non è possibile aggiungere directory a un disco audio.;0.934
Please select a different directory, or try upgrading to a newer version of Anjuta.;Selezionare una directory diversa, o provare ad aggiornare a una nuova versione di Anjuta.;0.905
Would you like to terminate it and attach the new process?;Si vuole interromperlo e collegare il nuovo processo?;0.858
"A file named ""%s"" cannot be written: %s.";Un file di nome «%s» non può essere scritto: %s.;0.984
Please enter the URL of the repository to pull from.;Inserire l'URL del repository da cui prelevare.;0.805
Choose Create a VCD to create a Video CD.;Scegliere Crea un VCD per creare un Video CD.;0.983
"Plugin View Management
Accerciser has two modes for viewing plugins.";"Gestione vista plugin
Accerciser dispone di due modalità per la visualizzazione dei plugin.";0.943
The request is missing a required parameter.;La richiesta manca di un parametro necessario.;0.879
It is possible to divide a track in multiple parts.;È possibile dividere una traccia in molteplici parti.;0.843
It will ask for details of the initial structure for the application.;Vi sarà chiesta la struttura di base iniziale dell'applicazione che desiderate sviluppare.;0.819
"Amazon MP3 Store Source
Browse, search, and purchase music from the Amazon MP3 store.";"Fonte negozio Amazon MP3
Esplora, cerca e acquista musica dal negozio Amazon MP3.";0.927
Press Tab to show completions for the current command.;Premere Tab per visualizzare i possibili completamenti per il comando attuale.;0.872
Please select a project backend to open %s.;Selezionare un backend di progetto per aprire «%s».;0.878
"Animations
Whether or not to animate card moves.";"Animazioni
Indica se usare o meno l'animazione nel muovere le carte.";0.869
"Height of main window
The height of the main window.";"Altezza delle finestra principale
L'altezza della finestra principale.";0.956
This label will be shown as the name of the disc.;Questa etichetta verrà mostrato come nome del disco.;0.822
Do you want to continue with full Windows compatibility disabled?;Continuare disabilitando la compatibilità con i sistemi Windows?;0.813
If the path is relative, it is relative to the home directory.;Se il percorso è relativo, è relativo rispetto alla directory home.;0.872
Please ensure Banshee has been cleanly installed.;Assicurarsi che Banshee sia stato correttamente installato.;0.851
NOTE: Such a file hierarchy is known to work on linux.;Nota: una tale gerarchia di file è nota funzionare con Linux.;0.928
A file with this name already exists in the folder.;Un file con lo stesso nome esiste già.;0.808
Disk Usage Analyzer is a graphical application for analysing storage device usage.;Analizzatore di utilizzo del disco è un'applicazione per l'analisi grafica dell'utilizzo dei dispositivi di archiviazione.;0.788
This part is not a real PGP signature.;Questa parte non è una vera firma PGP.;0.905
"Dubious entry
New project creation has failed.";La creazione di un nuovo progetto è fallita.;0.894
The selection includes simple generic, flat (no subdirectory), GTK+, GNOME, Java, Python projects and more.;La selezione include progetti semplici e generici, flat (nessuna sotto-directory), GTK+, GNOME, Java, Python e altri.;0.957
This station is only available to subscribers.;Questa stazione è disponibile solo per gli abbonati.;0.873
This title will be shown as the name of the disc.;Questo titolo verrà mostrato come il nome del disco.;0.832
The signature, if there is any, cannot be checked.;La firma, se c'è, non può essere verificata.;0.892
Insert the CD or DVD to be checked into the drive.;Inserire il CD o il DVD da controllare nel lettore.;0.818
Data removed from fast blanked media can still be recovered with special tools.;I dati rimossi tramite una cancellazione veloce possono essere recuperati attraverso l'uso di strumenti particolari.;0.791
"DAAP Sharing
Browse and listen to music shared over your local network.";"Condivisione DAAP
Esplora e ascolta la musica condivisa sulla rete locale.";0.905
See the GNU General Public License for more details.;See the GNU General Public License for more details.;1.0
Do you really want to attach this file as reference?;Allegare ugualmente il file come riferimento?;0.769
You need JHBuild from 2012-11-06 or later.;È necessario avere JHBuild 2012-11-06 o successivo.;0.944
The source file will not be deleted from the file system.;Il file sorgente non sarà eliminato dal file system.;0.932
The default game, Klondike, is being started instead.;Il gioco predefinito, Klondike, è avviato al suo posto.;0.775
"Default user name used in new project
If empty, the current user name is used.";"Nome utente predefinito usato nel nuovo progetto
Se vuoto, verrà usato il nome utente corrente.";0.915
Appending audio tracks to a CD is not advised.;Non è consigliato aggiungere tracce audio a un CD.;0.887
Are you sure you want to remove the following module from the project?;Rimuovere il seguente modulo dal progetto?;0.847
"Notification Area Icon
Display an icon in the notification area for controlling Banshee.";"Icona area di notifica
Mostra un'icona nell'area di notifica per controllare Banshee.";0.946
"You may use ""New IMAP Folder"" later to add this folder again.";"Sarà possibile usare in seguito ""Nuova cartella IMAP"" per aggiungerla di nuovo.";0.767
"Insert predefined macros into Editor
Macro Plugin
Patch Plugin
Patches files and directories.";"Inserisce macro predefinite nell'editor
Plugin macro
Plugin patch
Applica patch a file e directory.";0.947
Make sure Anjuta is installed correctly.;Assicurarsi che Anjuta sia installato correttamente.;0.966
Please replace the disc with a recordable CD or DVD.;Sostituire il disco con un CD o DVD supportato.;0.897
Accerciser is an interactive Python accessibility explorer for the GNOME desktop.;Accerciser è un esploratore interattivo di accessibilità per l'ambiente grafico GNOME scritto in Python.;0.944
Save the changes of current project before closing?;Salvare il progetto attuale prima di chiudere?;0.827
From this drop-down list you can only select File image.;Da questo elenco a discesa è possibile selezionare solo File immagine.;0.896
Any unsaved changes will be lost.;Le modifiche non salvate saranno perse.;0.906
"Whether to use ""-use-the-force-luke=dao"" flag with growisofs
Whether to use ""-use-the-force-luke=dao"" flag with growisofs.";"Indica se usare il flag ""-use-the-force-luke=dao"" con growisofs
Indica se usare il flag ""-use-force-luke=dao"" con growisofs.";0.909
Please check the path to this target's profiling data file.;Controllare il percorso a questo file di dati del profilo dell'obiettivo.;0.833
"Are you sure you want to remove the shortcut ""%s"" from the project?";Rimuovere veramente il modulo «%s» dal progetto?;0.834
"Highlight fill color
The color and opacity of the highlight fill.";"Riempimento colore di sfondo
imposta il colore di riempimento al colore di sfondo correntemente selezionato.";0.794
"Reply to all recipients of the current message
Reply to _Group...";"Risponde a tutti i destinatari di questo messaggio
Rispondi al _gruppo...";0.914
The contents of the project changed since it was saved.;Il contenuto del progetto è cambiato da quando è stato salvato.;0.959
"Window position
Window position (x and y).";"Posizione della finestra
Posizione della finestra (x e y).";0.917
You may also mention what is the required version of the package.;Si può anche dire quale è la versione richiesta del pacchetto.;0.946
Move your mouse over the rings chart displays more details about the folder and subfolders.;Spostanto il mouse sul grafico ad anello vengono visualizzati i dettagli della cartella e delle sotto-cartelle.;0.782
From Video formats select the format of the video that will be burned.;Da Formato video selezionare il formato del video da masterizzare.;0.785
Could not save file %s: %s.;Il file non può essere salvato come «%s».;0.884
Whether the toolbar should be visible in main window.;Indica se la barra degli strumenti nella finestra principale debba essere visibile.;0.869
"Sending error: %s
You have new mail.";"Errore di spedizione: %s
Hai nuova posta.";0.837
The user ID is never valid.;"L'ID utente non è mai valido.marginalmente
L'ID utente è marginalmente valido.";0.766
This plugin is a fully-fledged IPython console.;Questo plugin rappresenta una console IPython completa.;0.947
"UPnP Client
Browse and play music and videos shared over your local network using UPnP.";"Client UPnp
Esplora e riproduce musica e video condivisi tramite la rete locale usando UPnP.";0.935
Invalid or corrupted anjuta plugins profile.;Profilo dei plugin di Anjuta danneggiato o non valido.;0.944
Please replace the disc with a recordable DVD.;Sostituire il disco con un DVD scrivibile.;0.859
Could not open the file %s.;Il file %s non può essere aperto per la scrittura.;0.854
They should be relevant to the snippet content.;Le snippet sono specifiche del linguaggio del documento attuale.;0.751
The API key used by this application is invalid.;La chiave API usata da questa applicazione non è valida.;0.912
If you select a gradient, there will be two buttons for the color chooser.;Se viene selezionato un gradiente, saranno presenti due pulsanti per la selezione del colore.;0.85
"A file named ""%s"" already exists.";Un file di nome «%s» esiste già.;0.947
"Last.fm Scrobbling
Last.fm scrobbling and context pane recommendations.";"Scrobbling di Last.fm
Scrobbling di Last.fm e i consigli nel pannello contestuale.";0.864
Click on Copy to start the copying process.;Fare clic su Copia per avviare il processo di copiatura.;0.833
Files are currently being converted to another format.;È in corso la conversione in un altro formato.;0.75
SMTP server cannot be reached.;Il server SMTP non può essere raggiunto.;0.975
"Getting ready to start debugging session...
No executable specified.";"Preparazione all'avvio della sessione di debug...
Caricamento dell'eseguibile:
Nessun eseguibile specificato.";0.774
No result found for this research.;Non è stato trovato alcun risultato.;0.796
Do you want to replace it with the one you are saving?;Sostituirlo con quello che si sta salvando?;0.815
In the text box, enter the title you want to give to the disc.;Nella casella di testo, digitare il titolo da dare al disco.;0.824
Common additional Fortran compiler flags for all targets in this group.;Opzioni comuni aggiuntive del compilatore Fortran per tutti gli obiettivi in questo gruppo.;0.808
"No silence could be detected
An error occured while detecting silences.";"Non è possibile individuare alcun silenzio
Si è verificato un errore durante l'individuazione dei silenzi.";0.84
"Changes to be committed
Changed but not updated
No staged files selected.";"Modifiche delle quali eseguire il commit
Modificato ma non aggiornato
Nessun file di recesso selezionato.";0.807
Enables to set consistent sound levels between tracks.;Consente a di impostare livelli sonori consistenti tra le tracce.;0.834
"Manual section:
Section where are installed the man pages.";"Sezione del manuale:
Sezione dove sono installate le pagine man.";0.813
Please install them and check the python path in the preferences.;Installarli e controllare il percorso a python nelle preferenze.;0.811
"Breakpoint number %s hit
Function finished
Debugger is ready.";"Breakpoint
Funzioni
Il debugger è pronto.";0.843
Place a two in the leftmost slot of row ~a.;Metti un due nel posto più a sinistra della riga ~a.;0.81
A list of URIs for partitions to be excluded from scanning.;Un elenco di URI di partizioni da escludere dalla scansione.;0.91
The signature could not be verified due to a missing key.;Impossibile verificare la firma a causa di una chiave mancante.;0.918
Close it before you can modify filters.;Chiuderla per poter modificare i filtri.;0.886
To run the validator, first select an item in the accessibility tree.;Per lanciare il validatore occorre anzitutto selezionare un elemento nell'albero degli accessibili.;0.874
"Sound Menu Integration
Control Banshee from the Sound Menu.";"Integrazione menù del suono
Controlla l'applicazione dal menù del suono.";0.768
Click on Pause on the toolbar or choose EditInsert a Pause.;Fare clic su Pausa sulla barra degli strumenti o scegliere ModificaInserisci una pausa.;0.784
Are you sure you want to remove the following elements from the project?;Rimuovere i seguenti elementi dal progetto?;0.942
This mail address is already in this address book.;Questo indirizzo di posta è già nella rubrica.;0.825
All files need to be analysed to complete this operation.;Tutti i file devono essere analizzati per completare questa operazione.;0.907
"Module: %s
Package: %s
The group will be deleted from the file system.";"Modulo: %s
Pacchetto: %s
Il gruppo sarà eliminato dal file system.";0.868
Please replace the disc with a recordable CD.;Sostituire il disco con un CD scrivibile.;0.854
This group does not have enough members for radio.;Questo gruppo non ha abbastanza membri per la radio.;0.979
It is not possible to write with the current set of plugins.;Non è possibile scrivere con l'insieme di plugin presente.;0.929
You can also select a recently used server instead of entering a new URL.;È possibile selezionare un server usato di recente invece che inserire un nuovo URL.;0.954
"The filter ""%s"" is not compatible with the mailbox type of ""%s"".";"Il filtro ""%s"" è incompatibile con il tipo di casella di ""%s"".";0.852
"MPRIS D-Bus interface
Control Banshee using the MPRIS D-Bus interface.";"Interfaccia D-Bus di MPRIS
Controlla l'applicazione usando l'interfaccia D-Bus di MPRIS.";0.885
"File to syncronize the profile XML
Failed to read '%s': XML parse error.";"File con il quale sincronizzare il profilo XML
Fallito a leggere «%s»: errore analisi XML.";0.897
"Git
There are no branches available.";"Git
Non ci sono rami disponibili.";0.828
"Please install ""packagekit-gnome"" package from your distribution, or install the missing packages manually.";Installare il pacchetto «packagekit-gnome» dalla propria distribuzione, o installare manualmente i pacchetti mancanti.;0.886
This will result in the removal of the old obsolete paths.;Tali percorsi obsoleti verranno quindi rimossi.;0.903
Subversion: File will be removed on next commit.;Subversion: il file sarà rimosso al prossimo commit.;0.964
"Categories Manager
The category ""%s"" already exists in the database!";"Gestore delle categorie
La categoria «%s» esiste già nel database!";0.9
A graph painter for the inheritance of the classes.;Un disegnatore di grafico per l'ereditarietà delle classi.;0.776
To save the project for later use, choose ProjectSave.;"Aprire un progetto salvato
Scegliere ProgettoProgetti recenti e selezionare il progetto da aprire.";0.779
"Device Support
iPod Support
Support for most iPod devices.";"Supporto del dispositivo
Supporto iPod
Supporto per la maggior parte di dispositivi iPod.";0.984
Do not rename the target with an optional prefix, used to avoid overwritting system program.;Non rinomina l'obiettivo con un prefisso opzionale, utilizzato per evitare la sovrascrittura di programmi di sistema.;0.832
Click on Data project in the main window or choose ProjectNew ProjectNew Data Project.;Nella finestra principale fare clic su Progetto dati oppure scegliere ProgettoNuovo progettoNuovo progetto dati.;0.911
"Enter new variable
Are you sure you want to remove variable ""%s""?";"Inserisci nuova variabile
Rimuovere la variabile «%s»?";0.845
See your operating system documentation for more information.;Per maggiori informazioni, fare riferimento alla documentazione del proprio sistema operativo.;0.913
The plugin is extensible with test schemas that define rules for validation.;Il plugin è estensibile con schemi di test che definiscano le regole di validazione.;0.918
"Please enter a URL
Add Remote
Apply Mailbox Files
No stash selected.";"Inserire un URL
Aggiungi remoto
Applica i file mailbox
Nessun recesso selezionato.";0.82
"Clean All
Cleaning whole of the Project:
This file has not been saved.";"Ripulisci completamente
Ripulisco tutto il progetto:
Questo file non è salvato.";0.826
"Use external program from Anjuta
Automake Build
Basic autotools build plugin.";"Utilizza programmi esterni ad Anjuta
Generazione di automake
Plugin per generazione degli autotools di base.";0.893
"Choose charset
File %s is not encoded in US-ASCII or UTF-8.";"Scegliere il set di caratteri
Il file %s non è codificato in US-ASCII né in UTF-8.";0.922
Without mount points disk usage cannot be analyzed.;Senza punti di mount l'utilizzo del disco non può essere analizzato.;0.902
"Import %s
I_mport %s
Do you want to import the session from '%s'?";"Importa %s
I_mporta %s
Importare la sessione da «%s»?";0.911
"Unable to build user interface for tool editor
Opening %s
(output)
(error)
Running command: %s...";"Impossibile generare l'interfaccia utente per lo strumento editor
Apertura di %s
(uscita)
(errore)
Esecuzione comando: %s...";0.813
